City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jamestown,37,AU,<class 'datetime.date'>,65,-33.21,138.6,287.42,4.59
Port Elizabeth,75,US,<class 'datetime.date'>,55,39.31,-74.98,294.26,3.1
Albany,40,US,<class 'datetime.date'>,46,42.65,-73.75,295.37,6.2
Busselton,51,AU,<class 'datetime.date'>,64,-33.64,115.35,279.82,4.04
Punta Arenas,40,CL,<class 'datetime.date'>,62,-53.16,-70.91,284.82,12.9
Torbay,90,CA,<class 'datetime.date'>,93,47.66,-52.73,280.15,6.7
Saint-Pierre,0,FR,<class 'datetime.date'>,48,48.95,4.24,292.59,2.1
Norman Wells,20,CA,<class 'datetime.date'>,59,65.28,-126.83,276.15,3.6
Broome,0,GB,<class 'datetime.date'>,44,52.47,1.45,292.59,2.1
Pangnirtung,20,CA,<class 'datetime.date'>,72,66.15,-65.72,261.15,4.1
Cape Town,0,ZA,<class 'datetime.date'>,63,-33.93,18.42,291.48,11.8
Novoagansk,89,RU,<class 'datetime.date'>,96,61.94,76.66,271.32,3.68
Bintulu,75,MY,<class 'datetime.date'>,94,3.17,113.03,299.15,1.5
Cabo San Lucas,40,MX,<class 'datetime.date'>,36,22.89,-109.91,304.82,3.1
Nouadhibou,0,MR,<class 'datetime.date'>,68,20.93,-17.03,293.15,8.7
Beloha,0,MG,<class 'datetime.date'>,83,-25.17,45.06,296.12,3.88
Yantongshan,0,CN,<class 'datetime.date'>,20,43.28,126.02,279.62,3.01
Cockburn Town,19,TC,<class 'datetime.date'>,77,21.46,-71.14,299.52,6.5
Butaritari,100,KI,<class 'datetime.date'>,80,3.07,172.79,301.62,9.08
Sechura,83,PE,<class 'datetime.date'>,69,-5.56,-80.82,298.22,4.95
Nemuro,99,JP,<class 'datetime.date'>,72,43.32,145.57,277.02,3.11
Codrington,40,AU,<class 'datetime.date'>,93,-28.95,153.24,290.15,1.39
Half Moon Bay,1,US,<class 'datetime.date'>,67,37.46,-122.43,292.59,2.1
Rikitea,39,PF,<class 'datetime.date'>,80,-23.12,-134.97,299.22,5.58
Mabaruma,72,GY,<class 'datetime.date'>,49,8.2,-59.78,304.32,2.24
Mataura,1,NZ,<class 'datetime.date'>,98,-46.19,168.86,279.62,0.87
Puerto Ayora,40,EC,<class 'datetime.date'>,74,-0.74,-90.35,302.15,5.1
Naryan-Mar,100,RU,<class 'datetime.date'>,100,67.67,53.09,275.02,7.35
Patnos,100,TR,<class 'datetime.date'>,90,39.23,42.86,275.32,2.88
Lebu,75,ET,<class 'datetime.date'>,87,8.96,38.73,288.15,5.1
Chuy,53,UY,<class 'datetime.date'>,59,-33.69,-53.46,291.52,5.92
Atuona,4,PF,<class 'datetime.date'>,77,-9.8,-139.03,301.62,6.15
Kodiak,1,US,<class 'datetime.date'>,9,39.95,-94.76,301.48,10.3
Asosa,59,ET,<class 'datetime.date'>,18,10.07,34.53,301.32,1.08
Arraial do Cabo,0,BR,<class 'datetime.date'>,52,-22.97,-42.02,306.15,3.6
Qaanaaq,100,GL,<class 'datetime.date'>,91,77.48,-69.36,258.52,2.32
Bowmore,90,US,<class 'datetime.date'>,54,34.94,-79.3,289.82,3.1
Redlands,90,US,<class 'datetime.date'>,51,34.06,-117.19,292.59,3.74
Georgetown,75,GY,<class 'datetime.date'>,70,6.8,-58.16,304.15,6.2
