City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,94,GL,1555635000,82,65.61,-37.64,276.15,7.2
Khani,81,GE,1555633800,100,41.96,42.96,281.15,0.5
Bintulu,90,MY,1555632000,94,3.17,113.03,298.15,0.59
Atuona,57,PF,1555636432,74,-9.8,-139.03,301.811,4.86
Morondava,0,MG,1555636857,70,-20.3,44.28,301.551,3.0
Vaini,0,IN,1555632000,33,15.34,74.49,296.15,3.1
Wanning,0,AT,1555636822,61,48.64,13.53,284.26,4.6
Butaritari,100,KI,1555636427,79,3.07,172.79,301.291,8.03
Vostok,32,RU,1555636858,36,46.45,135.83,273.101,6.75
Grand-Santi,64,GF,1555636858,97,4.27,-54.38,296.441,1.13
Ushuaia,75,AR,1555632000,69,-54.81,-68.31,275.15,3.6
Ardakan,75,IR,1555632000,28,32.31,54.02,296.15,5.1
Mataura,1,NZ,1555636205,58,-46.19,168.86,291.48,1.79
Cabatuan,1,PH,1555636858,75,16.95,121.67,300.171,1.62
Upernavik,58,GL,1555636423,98,72.79,-56.15,252.231,3.82
Port Alfred,4,ZA,1555636640,95,-33.59,26.89,289.82,3.76
Kumluca,100,TR,1555636858,86,36.37,30.29,275.601,2.11
Punta Arenas,75,CL,1555636394,81,-53.16,-70.91,280.15,8.2
Broken Hill,0,AU,1555632000,27,-31.97,141.45,299.15,7.2
Kathu,0,ZA,1555636547,59,-27.7,23.05,283.15,1.08
Tulun,77,RU,1555636859,39,54.56,100.58,267.791,9.13
Bredasdorp,0,ZA,1555636613,93,-34.53,20.04,287.59,2.1
Avarua,92,CK,1555633800,94,-21.21,-159.78,297.15,1.5
Bluff,0,AU,1555636670,49,-23.58,149.07,298.211,7.04
Finschhafen,98,PG,1555636859,74,-6.6,147.85,297.121,1.48
Barrow,95,AR,1555636859,49,-38.31,-60.23,293.611,2.55
Acapulco,0,MX,1555636859,62,16.86,-99.88,300.701,3.37
Ormara,0,PK,1555636859,55,25.21,64.64,297.861,1.56
Dikson,86,RU,1555636860,91,73.51,80.55,255.811,1.76
Jamestown,7,AU,1555636426,23,-33.21,138.6,300.931,6.17
Kortkeros,90,RU,1555636335,86,61.81,51.56,274.26,3.0
New Norfolk,20,AU,1555636636,62,-42.78,147.06,288.71,3.1
Busselton,100,AU,1555636534,96,-33.64,115.35,284.26,0.45
Manado,40,ID,1555635600,66,1.49,124.85,306.15,0.5
Cherskiy,92,RU,1555636860,89,68.75,161.3,265.911,8.68
Robore,20,BO,1555636860,71,-18.33,-59.76,298.301,1.84
Fare,2,PF,1555636860,77,-16.7,-151.02,302.111,5.14
Hithadhoo,73,MV,1555636860,77,-0.6,73.08,302.141,4.87
Totness,1,US,1555636811,73,33.74,-80.8,296.15,3.6
Tiksi,81,RU,1555636861,88,71.64,128.87,263.781,3.99
Lavrentiya,0,RU,1555636861,79,65.58,-170.99,258.221,4.42
Murgab,90,TM,1555632000,72,37.5,61.97,290.15,3.1
